a	b	r	nb	Figure_of_merit
2.052246094	0.943847656	1	1	0.231889952
2.327636719	0.023925781	1	1	0.232565545
0.651855469	0.856933594	1	1	0.249094625
1.829589844	0.752441406	1	1	0.237667206
2.837402344	0.431152344	1	1	0.227938455
1.445800781	0.166503906	1	1	0.238415187
1.343261719	0.609863281	1	1	0.23896575
2.664550781	0.833496094	1	1	0.231128075
2.693847656	0.202636719	1	1	0.229129913
2.087402344	0.854003906	1	1	0.23764522
2.339355469	0.746582031	1	1	0.233001805
2.740722656	0.468261719	1	1	0.22934679
0.121582031	0.273925781	1	1	0.261031674
0.461425781	0.349121094	1	1	0.253476782
0.323730469	0.605957031	1	1	0.257980644
2.761230469	0.554199219	1	1	0.228978145
1.193847656	0.555175781	1	1	0.241283472
1.384277344	0.338378906	1	1	0.240929736
2.512207031	0.352050781	1	1	0.22991103
1.574707031	0.164550781	1	1	0.238569295
1.322753906	0.944824219	1	1	0.243210449
0.821777344	0.463378906	1	1	0.249565077
2.189941406	0.073730469	1	1	0.231019312
2.752441406	0.025878906	1	1	0.22642539
2.986816406	0.215332031	1	1	0.226900523
1.976074219	0.524902344	1	1	0.230606189
1.243652344	0.135253906	1	1	0.241571031
2.799316406	0.933105469	1	1	0.229021503
2.790527344	0.682128906	1	1	0.230454056
1.497070313	0.875976563	1	1	0.241770189
2.134277344	0.025878906	1	1	0.233372869
1.451660156	0.625488281	1	1	0.238921687
1.384277344	0.338378906	1	1	0.240730847
0.651855469	0.809082031	1	1	0.249968604
0.821777344	0.463378906	1	1	0.24974439
0.895019531	0.892089844	1	1	0.245722255
1.445800781	0.177246094	1	1	0.240487848
2.676269531	0.981933594	1	1	0.228241516
0.687011719	0.320800781	1	1	0.252147658
2.055175781	0.473144531	1	1	0.232958165
2.034667969	0.730957031	1	1	0.232718201
0.481933594	0.981933594	1	1	0.254876533
1.237792969	0.215332031	1	1	0.241106579
0.531738281	0.110839844	1	1	0.253476782
0.684082031	0.755371094	1	1	0.252530337
0.965332031	0.756347656	1	1	0.243809694
0.238769531	0.544433594	1	1	0.258435084
0.382324219	0.070800781	1	1	0.256664622
1.732910156	0.146972656	1	1	0.239538856
0.531738281	0.486816406	1	1	0.252733026
2.327636719	0.979980469	1	1	0.23398452
2.815429688	0.815429688	1	1	0.226835711
1.697753906	0.565917969	1	1	0.23927428
0.194824219	0.812988281	1	1	0.257912507
0.127441406	0.655761719	1	1	0.260643784
1.038574219	0.352050781	1	1	0.246903859
2.468261719	0.227050781	1	1	0.231781054
2.295410156	0.960449219	1	1	0.230801844
1.756347656	0.261230469	1	1	0.23577928
1.237792969	0.215332031	1	1	0.241615283
1.308105469	0.450683594	1	1	0.239362459
0.291503906	0.752441406	1	1	0.256959353
2.761230469	0.113769531	1	1	0.229520347
1.343261719	0.609863281	1	1	0.23927428
2.307128906	0.425292969	1	1	0.232827264
1.618652344	0.010253906	1	1	0.235976583
0.385253906	0.348144531	1	1	0.257435749
0.341308594	0.920410156	1	1	0.259071852
0.030761719	0.539550781	1	1	0.259549851
1.272949219	0.519042969	1	1	0.241128687
0.121582031	0.259277344	1	1	0.261556847
2.623535156	0.257324219	1	1	0.22991103
2.383300781	0.854003906	1	1	0.232303937
0.821777344	0.073730469	1	1	0.249901331
2.113769531	0.404785156	1	1	0.234399915
0.722167969	0.793457031	1	1	0.251697747
1.486816406	0.572753906	1	1	0.240973942
0.842285156	0.726074219	1	1	0.247551346
1.372558594	0.279785156	1	1	0.240134565
2.939941406	0.824707031	1	1	0.229563744
0.558105469	0.566894531	1	1	0.254356906
1.094238281	0.746582031	1	1	0.243387943
2.286621094	0.522949219	1	1	0.23453115
2.248535156	0.016113281	1	1	0.233482048
1.864746094	0.349121094	1	1	0.235231544
0.127441406	0.887207031	1	1	0.257390363
0.769042969	0.676269531	1	1	0.250305075
2.544433594	0.404785156	1	1	0.230171622
1.047363281	0.153808594	1	1	0.243099541
2.749511719	0.892089844	1	1	0.228198212
2.459472656	0.201660156	1	1	0.234181251
0.435058594	0.140136719	1	1	0.255306115
2.544433594	0.419433594	1	1	0.230867077
